student,teacher_response
Reading makes me frustrated.,You're not bad at reading. Everyone learns differently and can improve with practice.
I feel stupid in class.,You're not stupid. Dyslexia just means your brain processes language differently.
I'm bad at reading.,It's okay to learn at your own pace. Speed improves with time.
I get confused by letters.,Everyone has strengths and reading skills grow with time.
I can't spell words well.,It's okay to learn at your own pace. Speed improves with time.
I feel stupid in class.,Feeling frustrated is normal. Let's try strategies that make reading easier.
I feel stupid in class.,Many learners confuse letters. Practice and visual tricks help.
I feel slow compared to others.,Many learners confuse letters. Practice and visual tricks help.
I feel stupid in class.,You're not bad at reading. Everyone learns differently and can improve with practice.
Reading makes me frustrated.,Many learners confuse letters. Practice and visual tricks help.
I get confused by letters.,Many learners confuse letters. Practice and visual tricks help.
I feel stupid in class.,Many learners confuse letters. Practice and visual tricks help.
I'm bad at reading.,You're not stupid. Dyslexia just means your brain processes language differently.
I'm bad at reading.,Everyone has strengths and reading skills grow with time.
Reading makes me frustrated.,Many learners confuse letters. Practice and visual tricks help.
I get confused by letters.,You're not bad at reading. Everyone learns differently and can improve with practice.
I feel slow compared to others.,You're not stupid. Dyslexia just means your brain processes language differently.
I'm bad at reading.,Spelling improves with repetition and sound practice.
I get confused by letters.,Spelling improves with repetition and sound practice.
I'm bad at reading.,Feeling frustrated is normal. Let's try strategies that make reading easier.
I feel slow compared to others.,You're not stupid. Dyslexia just means your brain processes language differently.
Reading makes me frustrated.,Feeling frustrated is normal. Let's try strategies that make reading easier.
Reading makes me frustrated.,Feeling frustrated is normal. Let's try strategies that make reading easier.
I get confused by letters.,You're not stupid. Dyslexia just means your brain processes language differently.
I feel stupid in class.,Spelling improves with repetition and sound practice.
I feel stupid in class.,Many learners confuse letters. Practice and visual tricks help.
I get confused by letters.,You're not stupid. Dyslexia just means your brain processes language differently.
I get confused by letters.,Spelling improves with repetition and sound practice.
I'm bad at reading.,You're not bad at reading. Everyone learns differently and can improve with practice.
I feel stupid in class.,Many learners confuse letters. Practice and visual tricks help.
I feel stupid in class.,Everyone has strengths and reading skills grow with time.
